Instar,ActiveFeeding,Fgp,Mgp,Mass,LogMass,Intake,WetFrass,DryFrass,Cassim,Nfrass,Nassim
2,Y,Y,N,0.0084,-2.075720714,0.234476,0.001129,0.000982,0.020005334,0.000027496,0.002528292
2,N,Y,N,0.0173,-1.761953897,0.188124,0.002175,0.001176,0.015938718,2.19E-05,0.002073828
2,Y,Y,Y,0.0298,-1.525783736,0.20472,0.002756,0.002213,0.017039086,5.60E-05,0.002220498
3,Y,Y,N,0.0491,-1.308918508,0.283245,0.0168,0.00785,0.021820692,0.000215875,0.003143411
3,Y,N,N,0.1102,-0.957818405,0.456797,0.0101,0.007673,0.03569972,0.000246303,0.004924639
3,Y,Y,Y,0.1596,-0.796967113,0.518721,0.0174,0.009792,0.041050909,0.000268301,0.00562437
4,Y,Y,N,0.2718,-0.565750548,0.71333,0.076,0.0319,0.049778387,0.00099528,0.007150949
4,Y,Y,N,0.6323,-0.199076818,0.706139,0.112,0.0431,0.045670148,0.00159039,0.006346612
4,N,N,N,1.1452,0.058881339,0.133914,0.0435,0.018,0.004803849,0.0006714,0.000857898
4,Y,Y,Y,1.0922,0.038302172,1.465442,0.1513,0.0615,0.097901718,0.0016728,0.013391944
5,Y,Y,N,2.1468,0.331791587,3.560115,0.5846,0.1925,0.225356946,0.0068145,0.031421135
5,Y,Y,N,4.6935,0.671496822,5.255495,1.6637,0.2986,0.350324533,0.01412378,0.047155292
5,Y,Y,Y,7.727,0.888010912,6.653827,2.731,0.3883,0.443310832,0.02360864,0.049982687
5,N,N,N,10.8464,1.035285617,2.844993,2.3755,0.3565,0.120260937,0.02149695,0.011618769
1,Y,Y,N,0.001035,-2.98505965,0.088358,0.000114,0.000093,0.007615561,3.58E-06,0.000994747
1,Y,Y,N,0.001495,-2.825358807,0.157723,0.000546,0.000465,0.013480881,0.000017391,0.001764669
1,N,Y,N,0.003526,-2.452717692,0.130613,0.000292,0.000236,0.011222683,8.17E-06,0.001467587
1,Y,Y,Y,0.005967,-2.224243962,0.189556,0.000935,0.000715,0.016546925,0.000024882,0.002310448
2,Y,Y,Y,0.0114,-1.943095149,0.252683,0.002804,0.002424,0.021040874,7.05E-05,0.002683706
2,N,N,N,0.0263,-1.580044252,0.211071,0.000688,0.000611,0.018171734,2.35E-05,0.002327807
3,Y,Y,N,0.0263,-1.580044252,0.248736,0.012,0.004958,0.019759351,0.000117009,0.002648936
3,Y,Y,Y,0.0789,-1.102922997,0.358726,0.023,0.012,0.02677427,0.0003828,0.00387169
3,N,N,N,0.1738,-0.759950228,0.333337,0.009255,0.00485,0.026357442,0.000162475,0.0036109
4,Y,Y,N,0.1754,-0.755970411,0.576675,0.0586,0.028,0.039103187,0.000798,0.005753028
4,Y,Y,N,0.4732,-0.324955264,1.160025,0.1847,0.0746,0.072520314,0.00271544,0.010532046
4,N,N,N,1.2301,0.089940418,0.160614,0.0815,0.0282,0.00332723,0.00103776,0.000767541
4,Y,Y,Y,1.2581,0.099715162,1.43522,0.1063,0.0431,0.108353475,0.00134041,0.015049802
5,Y,Y,N,2.3656,0.373941312,4.258054,1.034,0.2805,0.24766796,0.0110517,0.032721095
5,Y,Y,Y,5.1559,0.712304486,6.568131,2.1702,0.3838,0.409734808,0.0207252,0.049816527
5,Y,N,N,8.7928,0.944127195,6.75397,3.4047,0.4843,0.41878855,0.0363225,0.04242879
5,N,N,N,11.0251,1.042382537,2.152805,1.8684,0.2812,0.078567179,0.01853108,0.005278943
1,Y,Y,N,0.000994,-3.002613616,0.080799,0.000051,0.000049,0.006980703,1.84E-06,0.000911083
1,Y,Y,Y,0.002184,-2.660747366,0.226235,0.000894,0.000734,0.019313738,2.61E-05,0.002530023
1,N,N,N,0.005853,-2.232621476,0.125966,0.000038,0.000035,,,
2,Y,Y,N,0.007114,-2.147886139,0.205762,0.002428,0.001872,0.017510707,0.000067392,0.002467596
2,Y,Y,N,0.0186,-1.730487056,0.253734,0.002392,0.002067,0.021252977,6.39E-05,0.00270183
3,N,Y,Y,0.0306,-1.514278574,0.236687,0.006759,0.005423,0.018555341,0.000157809,0.002478884
3,Y,Y,N,0.0686,-1.163675884,0.329949,0.0296,0.0123,0.02405542,0.00037884,0.003290193
3,Y,N,N,0.1753,-0.756218084,0.441297,0.006787,0.002998,0.037549316,8.45E-05,0.005149239
3,Y,Y,Y,0.1912,-0.718512112,0.729189,0.0652,0.0317,0.049205921,0.00102708,0.007227339
4,Y,Y,N,0.4803,-0.318487413,1.152131,0.1261,0.062,0.077387076,0.0022506,0.010837608
4,N,N,N,1.0446,0.018950022,0.464771,0.0725,0.0271,0.030844766,0.00092682,0.004380865
4,Y,Y,Y,1.129,0.052693942,1.162569,0.0711,0.0306,0.08961085,0.00116892,0.011898356
5,Y,Y,N,2.0173,0.304770489,3.354014,0.668,0.2297,0.204573993,0.0094177,0.02888514
5,Y,Y,Y,4.2281,0.62614525,5.497262,1.5606,0.342,0.322843856,0.0190494,0.037462453
5,Y,N,N,7.3661,0.86723761,6.284001,2.1919,0.3739,0.395264864,0.02464001,0.042850161
5,N,N,N,10.0648,1.002805149,2.589453,1.8078,0.26,0.134798825,0.015652,0.014541022
1,Y,Y,N,0.001107,-2.955852379,0.091542,0.00025,0.000213,0.007843456,3.88E-06,0.001030426
1,Y,Y,N,0.002472,-2.606951534,0.167661,0.000815,0.000663,0.014266636,0.000023205,0.001871141
1,N,Y,Y,0.006725,-2.172307711,0.170163,0.000751,0.000584,0.014523846,1.60E-05,0.001906613
2,Y,Y,N,0.01174,-1.930331903,0.277056,0.004936,0.002682,0.023553648,7.54E-05,0.003337966
2,Y,N,N,0.0326,-1.4867824,0.303592,0.002213,0.001689,0.025748423,5.56E-05,0.003253585
2,N,Y,Y,0.0348,-1.458420756,0.283536,0.008575,0.006276,0.0222936,0.000182004,0.002976587
3,Y,Y,N,0.083,-1.080921908,0.351199,0.0349,0.0153,0.024698375,0.00047277,0.003432563
3,N,N,N,0.2155,-0.666552726,0.301051,0.0226,0.008308,0.023220209,0.000308227,0.003262238
4,Y,Y,Y,0.2439,-0.6127882,0.692755,0.0447,0.0215,0.050144198,0.00068585,0.007156137
4,Y,Y,N,0.461,-0.336299075,1.318926,0.1667,0.0734,0.086315748,0.00281856,0.012164439
4,N,N,N,1.2373,0.092475013,0.672576,0.134,0.0549,0.038229109,0.00255285,0.005127968
4,Y,Y,Y,1.3686,0.136276536,1.205644,0.1076,0.0448,0.087890876,0.00166656,0.011884879
5,Y,Y,N,2.1586,0.334172173,3.844743,0.8928,0.2495,0.238943954,0.01110275,0.032804215
5,Y,Y,Y,4.6072,0.663437066,6.800814,2.2177,0.4517,0.397969929,0.02425629,0.045656078
5,Y,N,N,8.343,0.921322244,7.042096,3.4562,0.5189,0.389513482,0.03279448,0.042837631
5,N,N,N,10.9242,1.038389643,2.904391,1.898,0.3084,0.14125771,0.02084784,0.013017359
1,Y,Y,N,0.00109,-2.962573502,0.118499,0.000256,0.000236,0.010168054,5.33E-06,0.001333547
1,Y,Y,N,0.002577,-2.588885581,0.161416,0.001052,0.000811,0.013665879,0.000029196,0.00179459
1,Y,Y,Y,0.006472,-2.188961491,0.229229,0.001852,0.001302,0.019345579,3.83E-05,0.002551703
2,N,Y,N,0.013552,-1.867996607,0.199182,0.00267,0.002044,0.016885813,6.79E-05,0.002386061
2,N,Y,Y,0.0295,-1.530177984,0.202759,0.002327,0.002011,0.016821222,4.95E-05,0.002160603
3,Y,Y,Y,0.0558,-1.253365801,0.284097,0.017365,0.014666,0.019116951,0.00043558,0.00272926
3,Y,N,N,0.1574,-0.802995272,0.342473,0.0119,0.006065,0.027615844,0.000181344,0.003626956
4,Y,Y,N,0.1699,-0.769806621,0.583099,0.0727,0.028,0.039954582,0.0008372,0.006078354
4,Y,Y,N,0.476,-0.322393047,1.130859,0.7471,0.0833,0.063570386,0.00317373,0.009627594
4,N,N,N,1.2317,0.090504941,0.956538,0.0577,0.0334,0.069746712,0.0012859,0.009580372
4,Y,Y,Y,1.3509,0.130623202,1.654776,0.2047,0.0771,0.114878881,0.00249804,0.016399502
5,Y,Y,N,2.5201,0.401417774,4.631999,1.0321,0.2804,0.299241632,0.01295448,0.039109189
5,Y,Y,Y,5.079,0.705778213,6.322555,2.3073,0.4214,0.400550094,0.0242305,0.047973078
5,Y,N,N,9.1534,0.961582441,7.173253,3.0947,0.4806,0.426786949,0.02965302,0.044088021
5,N,N,N,12.0307,1.080290897,1.899159,1.6474,0.2426,0.075094997,0.01450748,0.005889488
1,Y,Y,N,0.001179,-2.928486195,0.2097,0.000546,0.000439,0.01819513,1.09E-05,0.002165799
1,N,N,N,0.003845,-2.415103656,0.1911,0.00062,0.000532,0.016558881,1.47E-05,0.002144694
1,N,Y,Y,0.006434,-2.191518943,0.1814,0.001258,0.00108,0.015703984,0.000031536,0.002047308
2,Y,Y,Y,0.0164,-1.785156152,0.242,0.002998,0.002666,0.020160219,7.30E-05,0.002535712
2,Y,N,N,0.0353,-1.452225295,0.3194,0.001277,0.001117,0.027672974,3.66E-05,0.003444822
3,N,Y,N,0.0418,-1.378823718,0.3307,0.012365,0.009566,0.025595542,0.000260195,0.003417189
3,Y,N,N,0.1321,-0.879097182,0.4074,0.0189,0.0103,0.032097198,0.00036771,0.004309242
3,Y,Y,Y,0.1804,-0.743763467,0.9722,0.0492,0.0237,0.077870576,0.00069204,0.010216044
4,Y,Y,N,0.4672,-0.330497166,1.5591,0.2071,0.0858,0.104989812,0.00320034,0.014043306
4,N,N,N,1.3241,0.121920786,0.8354,0.0347,0.0161,0.066346668,0.00060375,0.008468694
4,Y,Y,Y,1.2638,0.101678351,2.2921,0.3377,0.112,0.163287508,0.0029792,0.025855418
5,Y,Y,N,2.7666,0.441946373,5.4033,1.2965,0.3152,0.364251614,0.01311232,0.04956596
5,Y,Y,Y,6.2316,0.794599569,7.5327,2.5855,0.4253,0.522378408,0.0267939,0.06209196
5,N,N,N,10.2216,1.009518882,3.2968,1.5731,0.2631,0.200001384,0.01791711,0.020391706
1,Y,Y,N,0.001158,-2.936291441,0.2096,0.000101,0.000084,0.018325512,1.91E-06,0.002173741
1,N,Y,Y,0.001937,-2.712870379,0.18,0.000721,0.000619,0.015546786,2.33E-05,0.002010726
1,Y,N,N,0.005918,-2.227825039,0.2542,0.000093,0.000087,0.022570529,0.00000261,0.002910522
2,N,Y,N,0.005856,-2.232398932,0.2166,0.001158,0.001034,0.018553643,0.000029986,0.002304962
2,Y,Y,Y,0.0169,-1.772113295,0.2818,0.002743,0.002498,0.023880307,7.34E-05,0.002998179
2,N,N,N,0.0338,-1.4710833,0.2032,0.000848,0.000734,0.017778228,2.58E-05,0.002233821
3,Y,Y,N,0.0385,-1.41453927,0.2891,0.014,0.008551,0.022295942,0.000240283,0.003078585
3,Y,Y,Y,0.1048,-0.979638717,0.6288,0.0182,0.007817,0.053553463,0.000238419,0.006816718
3,N,N,N,0.213,-0.671620397,0.4157,0.001034,0.00074,0.036346066,0.000023976,0.004573666
4,Y,Y,N,0.2318,-0.634886568,1.0127,0.0946,0.0451,0.069886714,0.00132143,0.009676492
4,Y,Y,N,0.5863,-0.231880106,1.5039,0.2842,0.0872,0.102113132,0.00298224,0.015936822
4,N,N,N,1.3907,0.143233455,0.5814,0.0402,0.0166,0.045546392,0.00050298,0.00624126
4,Y,Y,Y,1.3431,0.128108349,2.2692,0.247,0.0808,0.171745568,0.00269064,0.02408592
5,Y,Y,N,2.5977,0.414588994,4.4136,0.8687,0.2455,0.299775828,0.0115385,0.039747532
5,Y,Y,Y,5.3633,0.72943209,6.8671,2.2625,0.4151,0.459399044,0.02486449,0.058502104
5,N,N,N,9.039,0.956120386,4.6427,2.0758,0.3683,0.283945696,0.02390267,0.031252606
1,Y,Y,N,0.00142,-2.847711656,0.1914,0.000457,0.000314,0.016651276,6.41E-06,0.001980326
1,Y,Y,N,0.00394,-2.404503778,0.2059,0.000587,0.000505,0.017873087,0.000012625,0.002314045
2,N,Y,Y,0.007174,-2.144238628,0.2048,0.001684,0.001405,0.017670194,0.000041026,0.002305982
2,Y,Y,Y,0.0191,-1.718966633,0.2489,0.002504,0.002209,0.020959021,0.00006627,0.002616872
2,Y,N,N,0.036,-1.443697499,0.3171,0.000848,0.000761,0.02762871,2.81E-05,0.003428309
3,N,Y,N,0.0424,-1.372634143,0.3344,0.0157,0.0113,0.025152514,0.00034465,0.003373878
3,Y,N,N,0.1331,-0.875821945,0.4032,0.0219,0.009107,0.032147567,0.000301442,0.004327294
4,Y,Y,Y,0.1857,-0.731188096,0.7402,0.0578,0.026,0.055776796,0.0008242,0.007480844
4,Y,Y,N,0.4626,-0.334794372,1.4217,0.2557,0.0974,0.085385164,0.00390574,0.011818262
4,N,N,N,1.3077,0.116508124,0.7479,0.0805,0.0348,0.051123978,0.00138156,0.006740634
4,Y,Y,Y,1.3425,0.127914294,2.0912,0.2186,0.0825,0.155778826,0.00240075,0.023906546
5,Y,Y,N,2.812,0.449015316,5.211,1.1511,0.3106,0.34582268,0.01354216,0.04690544
5,Y,Y,Y,6.1982,0.792265586,7.4576,2.5478,0.4094,0.520091764,0.02493246,0.06306722
5,N,N,N,10.0252,1.001093045,5.4522,2.9473,0.4453,0.324338926,0.03085929,0.032495274
1,Y,Y,N,0.001347,-2.870632404,0.2158,0.000169,0.000136,,,
1,Y,Y,Y,0.003009,-2.521577812,0.2109,0.000667,0.000573,0.018274571,0.000016617,0.002366553
1,Y,N,N,0.007591,-2.119701009,0.2028,0.000351,0.000308,0.01791414,7.27E-06,0.002316819
2,Y,Y,N,0.0103,-1.987162775,0.2148,0.00209,0.001853,0.018070613,5.45E-05,0.002261066
2,Y,N,N,0.0264,-1.578396073,0.2657,0.001563,0.001407,0.022857254,4.25E-05,0.002853639
2,Y,Y,Y,0.0321,-1.493494968,0.3064,0.005923,0.004835,0.025334465,0.000131512,0.003275656
3,Y,Y,Y,0.0812,-1.090443971,0.3946,0.0245,0.012,0.030227972,0.0003792,0.004150808
3,N,N,N,0.2128,-0.672028376,0.3311,0.0107,0.003325,0.028472021,0.00010773,0.003607212
4,Y,Y,N,0.2394,-0.620875854,0.726,0.0661,0.025,0.05383012,0.0007325,0.00729706
4,Y,Y,N,0.553,-0.257274869,1.5247,0.1737,0.0684,0.107015714,0.00250344,0.014054802
4,N,N,N,1.2601,0.100405012,0.6491,0.0907,0.0296,0.046427948,0.00104488,0.007120798
4,Y,Y,Y,1.3313,0.124275932,1.3978,0.0648,0.0263,0.114555534,0.00081004,0.01540444
5,Y,Y,N,2.255,0.353146546,4.0652,0.7831,0.2482,0.266613728,0.00933232,0.03863704
5,Y,Y,Y,4.9887,0.697987388,6.2197,1.6261,0.3475,0.423846156,0.018209,0.054063914
5,Y,N,N,8.9225,0.950486557,7.621,2.8723,0.4641,0.5128364,0.02835651,0.06416243
5,N,N,N,12.4922,1.096638929,3.914,2.4887,0.4324,0.16593584,0.0261602,0.02033812
1,Y,Y,N,0.001144,-2.941573976,0.1961,0.000273,0.000237,,,
1,N,Y,Y,0.003498,-2.456180195,0.1622,0.000995,0.000859,,,
1,Y,N,N,0.0084,-2.075720714,0.1892,0.000494,0.000427,0.016656733,1.52E-05,0.002152988
2,Y,Y,N,0.0117,-1.931814138,0.2367,0.002008,0.001748,0.020038153,5.44E-05,0.002497263
2,Y,N,N,0.0284,-1.54668166,0.2696,0.001488,0.00133,0.02321935,0.000048146,0.002890494
3,N,Y,Y,0.0344,-1.463441557,0.2622,0.00587,0.004616,0.021480297,0.000133402,0.002782262
3,Y,Y,Y,0.0759,-1.119758224,0.3718,0.0271,0.0141,0.027426986,0.00048786,0.003780404
3,N,N,N,0.2023,-0.694004117,0.2939,0.0044,0.00087,0.026032394,0.000031668,0.00326589
4,Y,Y,N,0.2014,-0.695940534,0.8688,0.0741,0.0311,0.064199516,0.00087391,0.008735018
4,Y,Y,N,0.6002,-0.221704009,1.2978,0.2098,0.0697,0.087117676,0.00233495,0.011759158
4,N,N,N,1.2745,0.10533984,0.4187,0.0578,0.0215,0.028891076,0.00061705,0.004650196
4,Y,Y,Y,1.2674,0.102913703,1.907,0.0982,0.0404,0.1546327,0.0012928,0.0208284
5,Y,Y,Y,2.6127,0.417089545,4.5983,1.0344,0.2811,0.301241442,0.01234029,0.04191965
5,Y,N,N,5.5922,0.747582695,5.3096,1.7611,0.2976,0.363586128,0.01645728,0.045240272
5,Y,N,N,8.4556,0.92714443,6.4652,3.089,0.3882,,,
5,N,N,N,10.8963,1.037279052,2.7704,1.6121,0.2429,0.161034352,0.01498693,0.017925422
1,Y,Y,N,0.001118,-2.951558196,0.1679,0.000225,0.000196,,,
1,Y,Y,Y,0.003045,-2.516412703,0.1901,0.000876,0.000764,0.01639362,2.27E-05,0.002125439
1,N,N,N,0.008205,-2.085921415,0.1824,0.000479,0.000409,0.01605014,1.13E-05,0.002078975
2,Y,Y,Y,0.0107,-1.970616222,0.2409,0.002473,0.002173,,,
2,Y,N,N,0.0313,-1.504455662,0.3117,0.001198,0.00108,0.02703585,0.000030564,0.003366966
3,N,Y,N,0.0338,-1.4710833,0.305,0.00632,0.005204,0.02506473,0.000134784,0.003256816
3,Y,Y,Y,0.0932,-1.030584088,0.3857,0.0302,0.0125,0.029272874,0.0004,0.004027836
3,N,N,N,0.214,-0.669586227,0.4284,0.0059,0.003024,0.037354464,9.10E-05,0.004715626
4,Y,Y,N,0.2304,-0.637517525,0.9775,0.0728,0.0341,0.07241205,0.00104005,0.0097711
4,Y,Y,N,0.6189,-0.208379517,1.4887,0.2058,0.08,0.097690674,0.002848,0.013319282
4,N,N,N,1.4187,0.151890569,0.5248,0.0412,0.0192,0.039400064,0.00067776,0.005924224
5,Y,Y,Y,1.3688,0.136339997,2.328,0.2322,0.0878,0.17379978,0.0026779,0.0243269
5,Y,Y,N,2.6919,0.430058922,4.7134,0.8788,0.2343,0.332537976,0.00962973,0.04598839
5,Y,Y,Y,5.8946,0.77045434,6.075,1.9655,0.368,0.4056079,0.0201664,0.0504251
5,Y,N,N,9.271,0.967126581,6.4816,2.9256,0.3715,0.453148184,0.02507625,0.053610374
5,N,N,N,11.6474,1.06622899,2.8785,1.4454,0.2181,0.18217101,0.01310781,0.02108877
1,Y,Y,N,0.001548,-2.810229044,0.1465,0.000368,0.000289,0.012718378,0.000005202,0.001515468
1,Y,Y,Y,0.003657,-2.43687504,0.1895,0.000824,0.000707,0.016354154,1.47E-05,0.002126644
1,N,N,N,0.00832,-2.079876674,0.1716,0.000093,0.000086,,,
2,Y,Y,N,0.006348,-2.197363082,0.2156,0.000685,0.000613,0.018633064,2.04E-05,0.002303816
2,Y,Y,Y,0.0128,-1.89279003,0.3438,0.002663,0.002381,0.029352391,7.67E-05,0.003670752
2,N,N,N,0.0295,-1.530177984,0.2175,0.000309,0.000286,0.019241579,9.18E-06,0.002409419
3,Y,Y,N,0.0334,-1.476253533,0.2616,0.0114,0.005211,0.021145701,0.000160499,0.002842669
3,Y,Y,Y,0.0836,-1.077793723,0.3965,0.0239,0.0141,0.03007796,0.00043851,0.00401022
3,N,N,N,0.1882,-0.725380381,0.3351,0.00199,0.000812,0.029215336,2.66E-05,0.003679572
4,Y,Y,N,0.2043,-0.689731633,0.8167,0.0725,0.032,0.058851634,0.0009472,0.007922162
4,Y,Y,N,0.5451,-0.263523818,1.331,0.1671,0.058,0.09737108,0.0018096,0.01493438
4,N,N,N,1.1594,0.064233296,0.5153,0.0307,0.0133,0.041099924,0.00043491,0.00554257
4,Y,Y,Y,1.1745,0.069853021,1.7001,0.0966,0.0411,0.135825444,0.00124533,0.01881585
5,Y,Y,N,2.1557,0.333588322,3.5537,0.6207,0.2082,0.235822206,0.0084321,0.032861894
5,Y,Y,Y,4.5787,0.660742189,4.9339,1.241,0.278,0.340944036,0.0145672,0.045330346
5,Y,N,N,7.4483,0.872057161,5.8055,2.4373,0.3696,0.39055966,0.02561328,0.04335606
5,N,N,N,9.781,0.990383259,1.9065,1.3643,0.1749,0.10399617,0.01019667,0.01203312
1,Y,Y,N,0.001157,-2.936666641,0.1894,0.000204,0.000185,,,
1,Y,Y,Y,0.002829,-2.548367053,0.2174,0.000845,0.000736,0.018781974,2.83E-05,0.002428358
1,N,N,N,0.007395,-2.131061822,0.1971,0.00027,0.000242,,,
2,Y,Y,N,0.0098,-2.008773924,0.2395,0.0025,0.002211,0.02008305,6.61E-05,0.002515701
2,Y,N,N,0.0254,-1.595166283,0.3148,0.001698,0.001537,0.027117093,4.27E-05,0.003388591
3,N,Y,Y,0.0284,-1.54668166,0.2649,0.006105,0.004839,0.021604257,0.000141299,0.002804389
3,Y,Y,Y,0.0702,-1.153662888,0.4959,0.026,0.0144,0.038190798,0.0004968,0.005196132
3,N,N,N,0.1807,-0.743041847,0.5063,0.0087,0.004795,0.043651821,0.000175497,0.005505189
4,Y,Y,N,0.1907,-0.719649307,0.8943,0.0663,0.0293,0.067091576,0.00084677,0.009044188
4,Y,Y,N,0.5024,-0.298950369,1.4846,0.1802,0.073,0.101668892,0.0025258,0.013596956
4,N,N,N,1.2381,0.092755724,1.2261,0.083,0.0335,0.096338228,0.0012395,0.014184838
4,Y,Y,Y,1.388,0.142389466,1.4844,0.0706,0.0278,0.121813632,0.00088682,0.01633222
5,Y,Y,N,2.2956,0.360896216,4.0562,0.8089,0.2373,0.272308458,0.00961065,0.03825251
5,Y,Y,Y,4.9509,0.694684154,5.4406,1.3559,0.2718,0.386990448,0.01470438,0.048515392
5,Y,N,N,7.8878,0.89695589,6.03,2.2695,0.3523,0.41555203,0.02416778,0.04903642
5,N,N,N,10.6491,1.027312905,4.3166,1.0164,0.1989,0.309891658,0.01298817,0.038293038
1,Y,Y,N,0.001431,-2.844360366,0.1216,0.000488,0.000465,0.010465091,0.000008835,0.001253373
1,Y,Y,N,0.00486,-2.313363731,0.1665,0.000451,0.000336,0.014473037,1.12E-05,0.001870228
1,N,Y,Y,0.008402,-2.075617323,0.1639,0.000977,0.000828,0.014237372,2.50E-05,0.001853288
2,Y,Y,Y,0.0163,-1.787812396,0.1957,0.004132,0.003657,0.01572817,0.000105322,0.002004324
2,Y,N,N,0.0423,-1.373659633,0.3378,0.000982,0.000866,0.029394552,3.02E-05,0.003651797
3,N,Y,N,0.0513,-1.289882635,0.3399,0.0156,0.0116,0.025490784,0.00033176,0.003447928
3,N,N,N,0.1646,-0.783570169,0.3248,0.0318,0.0108,0.024541696,0.00034236,0.003386344
4,Y,Y,Y,0.2115,-0.674689628,0.698,0.0532,0.0232,0.05344252,0.00065888,0.00717268
4,Y,Y,N,0.5501,-0.259558355,1.3367,0.2002,0.0841,0.084082724,0.00288463,0.011899272
4,N,N,N,1.4051,0.147707234,0.8212,0.0745,0.0268,0.062916984,0.00065124,0.008266992
4,Y,Y,Y,1.4806,0.170437745,2.2312,0.16,0.0631,0.175448926,0.00176049,0.026308006
5,Y,Y,N,3.107,0.492341253,5.0533,1.1107,0.3057,0.332840214,0.01228914,0.04632914
5,Y,Y,Y,6.3814,0.804915968,7.1451,2.5336,0.4055,0.492479264,0.02380285,0.06050933
5,Y,N,N,9.9312,0.997001728,7.9723,4.0014,0.5658,0.507724134,0.03468354,0.057954586
5,N,N,N,12.8632,1.109349022,3.0297,2.6918,0.3403,0.138912538,0.02157502,0.015205538
1,Y,Y,N,0.001433,-2.84375381,0.1191,0.000306,0.000269,,,
1,Y,Y,N,0.003519,-2.453580733,0.1667,0.00129,0.0011,0.014194432,0.00003223,0.00185148
1,N,Y,Y,0.009915,-2.003707281,0.1594,0.001214,0.001034,,,
2,Y,Y,Y,0.0172,-1.764471553,0.2369,0.004755,0.004131,0.019096128,0.000111537,0.002442245
2,N,N,N,0.0486,-1.313363731,0.2559,0.001919,0.001691,0.021856463,5.29E-05,0.002736382
3,Y,Y,Y,0.0598,-1.223298816,0.3995,0.0221,0.0154,0.029244,0.0004543,0.00398814
