SexDimorph,Attract,Cheater,Trust,Faithful,FaceSex,RaterSex
5.5,3.75,0,3.294,3.176,M,F
5.333,3.917,1,4.941,3.588,M,F
3.333,2.917,1,5.294,5.529,M,F
5.083,3.917,0,5.412,5.765,M,F
3.583,2.917,0,5.412,5.765,M,F
5.75,4.583,0,4.353,4,M,F
3.833,3.667,0,5.118,4.706,M,F
6.083,2.75,1,3.176,3.294,M,F
4.917,3,0,4.765,5.706,M,F
5.75,4.167,0,4.353,3.471,M,F
5.333,3.583,0,3.941,3.059,M,F
4.583,2.167,0,3.118,3.647,M,F
5.083,3.667,1,4.588,4.118,M,F
4.417,3.333,0,4.471,4.824,M,F
4.25,2.417,1,3.824,3.706,M,F
5.25,4.333,0,4.353,4.882,M,F
3.333,2,0,3.471,5.176,M,F
4.833,3.083,0,4.059,5,M,F
4.583,3.917,1,4.353,3.882,M,F
4.667,2.917,1,5.059,5.353,M,F
3.917,3.583,1,4.765,4.824,M,F
4.167,2.833,1,4.059,5.235,M,F
5.25,3.083,0,2.882,3.765,M,F
4.75,4.083,0,4.882,4.824,M,F
4.417,2.667,1,4.118,4.176,M,F
4.583,1.583,0,2.941,4.941,M,F
4.833,3.25,0,3.882,4.706,M,F
3.583,3.083,0,5.294,4.647,M,F
4.727,4,0,4.941,5.706,M,F
3.833,3.167,1,4.471,5.294,M,F
4.917,2.583,0,3.941,4.235,M,F
3.583,3,0,5.412,5.118,M,F
4.75,3.417,0,4.706,5.059,M,F
3.4,2.25,0,5.176,5.353,M,F
3.167,3.833,1,5.706,6.118,M,F
4.5,3.917,0,6.176,5.882,M,F
4.083,2.75,0,4,5.941,M,F
4.583,2.167,0,3.765,4.118,M,F
4.417,1.333,0,3.294,4.647,M,F
2.833,1.667,1,4.765,6.765,M,F
4.417,1.75,0,4.235,5.882,M,F
5.25,4.167,1,3.353,3.706,M,F
3.917,3.833,0,5.235,5.294,M,F
4.25,3.75,0,4.294,5,M,F
4.167,3.167,0,4.824,5.882,M,F
6,2.75,0,2.353,3.412,M,F
4,2.417,0,4.294,4.471,M,F
4.273,1.917,0,3.882,5.941,M,F
5.083,3.25,0,4.118,3.765,M,F
3,1.5,0,3.882,4.941,M,F
3.333,3.083,1,4.059,5.529,M,F
3.667,4.5,0,4.118,4.882,M,F
4,2.091,0,3.941,5.706,M,F
3.75,2.833,0,4.412,4.647,M,F
3.167,2.083,0,3.529,5.059,M,F
3.917,2.417,0,3.235,4.294,M,F
4.75,3,1,3.353,5.118,M,F
3.833,3.083,0,4.235,5.647,M,F
3.583,3.083,0,4.059,5.353,M,F
3,1.25,0,3.471,6.471,M,F
2.417,1.75,0,4.471,6.235,M,F
4.667,5.167,0,5.824,4.941,M,F
3.333,2.417,0,4.118,5.824,M,F
4.833,3.273,0,4.824,4.824,M,F
3.833,4.167,0,5.294,5.471,M,F
3.083,2.583,1,5.294,5.824,M,F
5.25,2.917,0,3,3.824,M,F
4.75,2.333,0,3,3.824,M,F
5.167,3.833,0,2.941,3.353,M,F
